=============================================================
 City Transportation Network - MST Results Comparison
=============================================================
Graph ID   | Vertices | Edges    | Prim Cost  | Kruskal Cost | Prim Time (ms) | Kruskal Time (ms)
-------------------------------------------------------------
1          | 18       | 36       | 211        | 211          | 1.000        | 0.000       
2          | 28       | 56       | 385        | 385          | 0.000        | 0.000       
3          | 29       | 58       | 342        | 342          | 0.000        | 0.000       
4          | 12       | 24       | 144        | 144          | 0.000        | 0.000       
5          | 21       | 42       | 247        | 247          | 0.000        | 0.000       
6          | 298      | 1192     | 4479       | 4479         | 1.000        | 1.000       
7          | 114      | 456      | 1827       | 1827         | 0.000        | 0.000       
8          | 268      | 1072     | 3786       | 3786         | 0.000        | 0.000       
9          | 230      | 920      | 3459       | 3459         | 0.000        | 0.000       
10         | 90       | 360      | 1604       | 1604         | 0.000        | 0.000       
11         | 235      | 940      | 3843       | 3843         | 0.000        | 0.000       
12         | 260      | 1040     | 3994       | 3994         | 0.000        | 0.000       
13         | 211      | 844      | 3164       | 3164         | 0.000        | 0.000       
14         | 95       | 380      | 1604       | 1604         | 0.000        | 0.000       
15         | 261      | 1044     | 4217       | 4217         | 0.000        | 0.000       
16         | 372      | 1444     | 12054      | 12054        | 0.000        | 0.000       
17         | 728      | 2849     | 22048      | 22048        | 1.000        | 2.000       
18         | 796      | 3110     | 24495      | 24495        | 1.000        | 2.000       
19         | 801      | 3135     | 23192      | 23192        | 1.000        | 1.000       
20         | 733      | 2869     | 21585      | 21585        | 2.000        | 1.000       
21         | 519      | 2013     | 15916      | 15916        | 0.000        | 1.000       
22         | 714      | 2789     | 20930      | 20930        | 0.000        | 1.000       
23         | 767      | 2997     | 23924      | 23924        | 0.000        | 1.000       
24         | 629      | 2448     | 19944      | 19944        | 0.000        | 1.000       
25         | 905      | 3548     | 28678      | 28678        | 0.000        | 2.000       
26         | 2840     | 4239     | 334956     | 334956       | 2.000        | 2.000       
27         | 1338     | 1998     | 156420     | 156420       | 0.000        | 1.000       
28         | 2600     | 3887     | 309080     | 309080       | 1.000        | 3.000       
29         | 1997     | 2982     | 228127     | 228127       | 0.000        | 2.000       
30         | 1467     | 2188     | 170825     | 170825       | 0.000        | 1.000       
=============================================================
